Field Name,Data Type,Description,Source,Format / Validation,Constraints,Example,Sensitivity,Entity / Table,FHIR Resource,Relationships,Update Frequency,Nullable,Indexed,Notes,FHIR Change Notes
catchment_village_code,string(8),"Village code of a village within the facility catchment area, per the national administrative boundary reference. The catchment group is repeatable  one record per catchment village.",,8-digit numeric code from national administrative boundary reference.,Required for each catchment record,1020914,Internal,facility_catchment,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/catchment-village, complex: village-code + period.start + period.end)",Links to national administrative boundary reference for name resolution. Used by the client registry to count registered patients with matching village addresses.,Infrequent,No,Yes,Catchment villages are defined and maintained by the facility registry. The client registry queries facility_catchment records to derive the catchment_population_count. Distinct from village_code in the geographic location group which is the village of physical location.,NOTE: Named extension URL added. Complex extension consolidates village code and date range. Consider Measure/MeasureReport for population computations in a full IG. Was: Location.extension (catchment)
catchment_date_added,date,Date this village was added to the facility catchment.,,ISO 8601 YYYY-MM-DD.,Required for each catchment record,7/1/2022,Internal,facility_catchment,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/catchment-village, complex: period.start element)",,Infrequent,No,No,,NOTE: Consolidated into catchment-village complex extension as period.start. Was: Location.extension (catchment period)
catchment_date_removed,date,"Date this village was removed from the facility catchment, if applicable.",,ISO 8601 YYYY-MM-DD. Must not be earlier than catchment_date_added.,Optional  absence indicates village is currently within catchment,,Internal,facility_catchment,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/catchment-village, complex: period.end element)",,Infrequent,Yes,No,"Historical catchment records are retained when villages are removed, supporting longitudinal analysis of catchment changes over time.",NOTE: Consolidated into catchment-village complex extension as period.end. Was: Location.extension (catchment period)
catchment_population_count,integer,Count of individuals registered in the client registry with a current residential address matching one of the catchment villages for this facility. Derived field  not entered manually.,,Non-negative integer. Derived by the client registry by counting patient records with commune_sangkat or village addresses matching facility_catchment records.,Derived; system-generated,4821,Internal,facility,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/catchment-population, complex: count + computationDate + computationMethod)",Derived from client registry by matching patient address records against facility_catchment village codes.,Periodic  recomputed on schedule,Yes,No,"Derived field  must not be manually entered. Reflects registered patient count only, not total population. Should be interpreted alongside catchment_computation_method to understand coverage implications.",NOTE: Named extension URL added. MeasureReport is the conformant R4 home for population counts; extension on Location is a pragmatic shortcut -- document in IG. Was: Location.extension (catchment population)
catchment_computation_date,datetime,Timestamp of the most recent computation of catchment_population_count.,,ISO 8601 datetime.,Required when catchment_population_count is populated; system-generated,2024-03-01T06:00:00,Internal,facility,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/catchment-population, complex: computationDate element, dateTime)",Qualifies catchment_population_count.,Periodic,Yes,No,Consumers should check this timestamp to assess data currency before using catchment_population_count for planning decisions.,NOTE: Consolidated into catchment-population complex extension. Was: Location.extension (catchment computation)
catchment_computation_method,code,"Method used to compute the catchment population count, indicating how the figure should be interpreted for planning purposes.",,From defined computation method value set.,Required when catchment_population_count is populated,RegisteredPatients,Internal,facility,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/catchment-population, complex: computationMethod element, code)",Qualifies catchment_population_count and catchment_computation_date.,Periodic,Yes,No,"Permitted values: RegisteredPatients (count of active HID records with matching village address), EstimatedFromCensus (projected from national census data using village population estimates), Combined (both methods used with registered patients as primary). RegisteredPatients count will underrepresent total catchment population where CR coverage is incomplete.",NOTE: Consolidated into catchment-population complex extension. Was: Location.extension (catchment computation)
SUB-FACILITY,,,,,,,,,,,,,,,
is_sub_facility,boolean,Indicates whether this facility record represents a sub-facility (a service delivery point within or dependent on a parent facility).,,true or false. Defaults to false.,Required; defaults to false,FALSE,Internal,facility,Implied by Location.partOf (populated = sub-facility; absent = top-level) -- no separate FHIR element required,"When true, parent_hfid must be populated.",Static once recorded,No,No,"Sub-facilities hold their own independent HFID. The parent-child relationship is managed through this group rather than encoded in the identifier, consistent with the non-meaningful identifier design principle.",NOTE: is_sub_facility is redundant in FHIR -- presence/absence of Location.partOf conveys the same information. Field is for the relational DB layer only. Was: Location.partOf (extension)
parent_hfid,string(6),HFID of the parent facility for this sub-facility record.,,6-digit numeric string. Must pass Damm check digit validation and reference an existing HFID.,Required when is_sub_facility is true,342814,Internal,facility,Location.partOf,Foreign key to facility. Enables the registry to resolve the full parent facility record.,Static once recorded,Yes,Yes,The parent facility remains the primary reference point for aggregate reporting. Sub-facility records support more granular service mapping and analysis.,
sub_facility_type,code,Type classification of the sub-facility.,,From CamDHEA sub-facility type value set.,Required when is_sub_facility is true,EmbeddedLaboratory,Internal,facility,"Location.type (second CodeableConcept entry, distinct coding system slice for sub-facility classification)",Qualifies sub-facility records.,Infrequent,Yes,No,"Permitted values: Ward, IsolationUnit, EmbeddedLaboratory, MobileClinic, TemporaryServicePoint, BloodCollectionPoint, Other.","ERROR CORRECTED: Location.type is repeatable (0..*). A second entry with a distinct coding system slice is the correct R4 approach -- no extension needed. If using an extension, declare formal URL: http://camdhea.gov.kh/fhir/StructureDefinition/sub-facility-type. Was: Location.type (extension)"
LEGEND,,,,,,,,,,,,,,,
White / light blue,Normal field,,,,,,,,,,,,,,
Green tint,Derived / computed  do not enter manually,,,,,,,,,,,,,,
Amber tint,Conditional  required only when stated condition is met,,,,,,,,,,,,,,
